Row	date_modified	ID	collector_id	date_created	Complete	Part_one_complete	Location	Type_respondent	Gender	Where_municipality	Cent_per	Residence	Bergen	Local_center	Mother	Father	Dialect_mother	Dialect_father	Future_edu	Future_edu_binom	Dialect_own	Dialect_own_orig	Dialect_old_people	Dialect_old_people_orig	inf_orig	inf	fem_strong	fem_strong_orig	fem_weak	fem_weak_orig	pronoun_pl	pronoun_pl_orig	pronoun_it	pronoun_it_orig	Written_language_school_cat	Written_language_school	Main_written_language	Sports	Car_scooter_boat	Friends	Mall	Gas_station	Social_media	Gaming	Facebook	Instagram	Youtube	Twitter	Snapchat	Broad_dialect	Demonym	Called	Insulted	C1	C2	C8	C6	S2	S3	S6	S1	C9	S10	S4	C3	S5	C7	S11	C4	S12	S7	C5
36	03.06.2019 09:45	10772122274	216331141	03.06.2019 09:48	Complete	Complete	Øygarden	General	Female	Rong	Central	5-10 years ago	Less than once a month	A couple of times a month	In another country	In another country	Forståelig norsk (er fra Polen)	Forståelig norsk (er fra Polen)	General studies	General studies	Mix dialect (Stril and Bergen)	Blandings-dialekt (stril og bergensk)	Stril	Stril	Være	være	solæ	Solæ	jenten, jento, jenta	Jenten, jento, jenta	vi	Vi	det	Det	Mix	"Mix since I'm from Poland ;)"	Nynorsk	Very important	Not at all important	Very important	Not at all important	Not at all important	Somewhat important	Not at all important	A bit every day	Practially all the time	A bit every day	Little or never	Practially all the time	No	Bergen	Polakk	Nei, ikkje i det heile tatt	5	3	4	4	5	1	3	3	3	5	3	4	4	4	5	4	3	3	3
37	03.06.2019 09:50	11320732574	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	General	Male	Tjeldstø	Peripheral	My whole life	Less than once a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality			Vocational training	Vocational training and other					Være	være	solæ	Solæ	jento	Jento	vi	Vi	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Not at all important	Not at all important	Not at all important	Not at all important	Not at all important	Very important	A couple of times per week	Little or never	A bit every day	A bit every day	A couple of times per week	About the same	Øygarden, like utanfor Bergen	Øygarding	Nei, ikkje i det heile tatt	5	5	3	1	5	5	1	3	2	5	2	5	3	2	3	1	5	2	3
38	03.06.2019 09:46	11320734305	234901686	04.02.2020 08:35	Complete	Complete	Øygarden	General	Female	Rong	Central	Before school	A couple of times a month	About once a week	Local or neighboring municipality	In another country	Stril	Bergen/kebab	General studies	General studies	Stril	Stril	Very Stril	Veldig stril	Væra	væra	solen	Solen	jento	Jento	vi	Vi	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Not that important	Very important	Somewhat important	Not at all important	Very important	Not at all important	A bit every day	Practially all the time	A couple of times per week	Little or never	Practially all the time	Yes	Øygarden, like utanfor Bergen	Øygarding	Nei, ikkje i det heile tatt	2	4	1	1	5	1	5	4	1	4	2	3	3	3	3	2	3	2	3
39	03.06.2019 09:44	11320772952	234901686	04.02.2020 09:02	Complete	Complete	Øygarden	General	Female	Rong	Central	My whole life	Less than once a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Snakka stril før, no snakkar ho litt utvatna stril	Utvatna stril	General studies	General studies	Watered down Stril	Utvatna stril	Stril	Stril	Vekslar	Mix	solen	Solen	jenta	Jenta	Mix	Vi, me (kjem an på setningen og kven eg er med)	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Somewhat important	Somewhat important	Not at all important	Not at all important	Very important	Very important	A lot every day	A lot every day	A bit every day	A lot every day	A couple of times per week	About the same	Øygarden	Øygarding	Ja, veldig	4	5	4	1	5	1	2	5	1	4	2	2	4	3	3	2	4		4
42	03.06.2019 09:44	10772124722	216331141	03.06.2019 09:51	Complete	Complete	Øygarden	General	Female	Toftøy	Central	5-10 years ago	A couple of times a month	A couple of times a month	Hordaland except Bergen	Some other place in Norway	Bergensk	Nordnorsk	General studies	General studies	Mix dialect	Blandingsdialekt 	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Somewhat important	Very important	Somewhat important	Not that important	Very important	Not at all important	A bit every day	A lot every day	A bit every day	Little or never	A lot every day	No	Bergen	Bergensar eller nordlending. Helst ingen av dei	Nei, ikkje i det heile tatt	4	5	3	2	5	2	2	3	2	4	2	2	3		3		2		3
43	03.06.2019 09:41	10772104988	216331141	03.06.2019 09:32	Complete	Complete	Øygarden	General	Female	Rong	Central	5-10 years ago	Less than once a month	A couple of times a month	Bergen	Bergen	Bergensk	Bergensk	Vocational training	Vocational training and other	Bergen and Stril	Bergensk og stril	Stril	Stril	Væra	væra	Both	Begge	jento	Jento	Mix, mainly vi	Vi, me (mest vi)	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Somewhat important	Very important	Somewhat important	Not at all important	Somewhat important	Not at all important	A bit every day	A bit every day	A couple of times per week	Little or never	Practially all the time	About the same	Bergen	Bergensar		3	5	4	4	5	5	5	4	4	4	4	3	3	4	3	3	3	5	3
48	03.06.2019 09:48	11320732606	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	General	Female	Toftøy	Central	My whole life	Less than once a month	Less than once a month	Local or neighboring municipality	Some other place in Norway	Stril	Sogning	Vocational training	Vocational training and other	Stril / Sogn dialect	Stril/sogning	Stril	Stril	Væra	væra	sola	Sola	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Not that important	Very important	Not that important	Not at all important	Not that important	Somewhat important	Little or never	A lot every day	A bit every day	A bit every day	A couple of times per week	Yes	Øygarden, like utanfor Bergen	Stril	Ja, veldig	4	4	4	2	5	3	2	4	4	4	5	2	4	3	3	2	2	4	3
49	03.06.2019 09:51	11320732597	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	General	Male	Rong	Central	My whole life	A couple of times a month	About once a week	Local or neighboring municipality	In another country	Stril	Stril	Vocational training	Vocational training and other	Stril	Stril	Stril	Stril	Væra	væra	solo	Solo	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Somewhat important	Very important	Not that important	Not that important	Very important	Very important	A bit every day	A couple of times per week	A lot every day	Little or never	Practially all the time	Yes	Øygarden, like utanfor Bergen	Øygarding	Ja, veldig	3	4	3	1	5		1	5	2	5	2	3	4	4	2	2	3	5	4
50	03.06.2019 09:43	10772106784	216331141	03.06.2019 09:34	Complete	Complete	Øygarden	General	Female	Torsvik	Central	My whole life	Less than once a month	About once a week	Some other place in Norway	Local or neighboring municipality	Utvaska trønder	Sotra/stril	Vocational training	Vocational training and other	Bergen	Bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Not that important	Somewhat important	Not that important	Not that important	Very important	Not at all important	A bit every day	Practially all the time	A couple of times per week	A bit every day	A bit every day	No	Bergen	Vet ikkje, bryr meg ikkje	Nei, ikkje i det heile tatt	3	5	3	3	5	4	3	3	4	3	2	3	4	3	3	2	3	2	4
53	03.06.2019 09:44	11320734268	234901686	04.02.2020 08:34	Complete	Complete	Øygarden	General	Male	Rong	Central	My whole life	Less than once a month	A couple of times a month	Local or neighboring municipality	Hordaland except Bergen	Svak stril	Askøy	General studies	General studies	Bergen Stril	Bergensk stril	Stril	Stril	Begge	Mix	solen	Solen			vi	Vi	det	Det 	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Somewhat important	Somewhat important	Not that important	Not that important	Very important	Very important	A bit every day	A bit every day	A bit every day	Little or never	A lot every day	Yes	Øygarden, like utanfor Bergen	Bergensar		3	4	3	2	4	3	1	2	4	2	2	3	3	3	3	3	3	2	4
54	31.05.2019 12:42	11320749733	234901686	04.02.2020 08:45	Complete	Complete	Øygarden	General	Male	Rong	Central	2-5 years ago	About once a week	A couple of times a month	Local or neighboring municipality	Hordaland except Bergen	Stril	Bergen	General studies	General studies			dfs	dfs	Væra	væra	solæ	Solæ	jenten	Jenten	vi	Vi	det	Det 	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Very important	Somewhat important	A bit every day	A couple of times per week	A couple of times per week	A couple of times per week	A couple of times per week	Yes	Øygarden	Øygarding	Ja, veldig	5	4	3	4	5	4	4					1	1	2	1	1	3		2
55	04.06.2019 08:38	11320732548	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	Sample	Female	Tjeldstø	Peripheral	My whole life	A couple of times a month	A couple of times a month			Arna	England (Newcastle)	Vocational training	Vocational training and other	Something like Bergen	Lignende til Bergen			Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Nynorsk	Somewhat important	Not that important	Somewhat important	Not that important	Not at all important	Somewhat important	Not that important	A couple of times per week	A couple of times per week	A bit every day	Little or never	A lot every day		Øygarden, like utanfor Bergen	Bergensar				2		2	2	1		2	3	2	1	2	3	3	2	4	2	2
56	03.06.2019 09:47	11320732157	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	Sample	Male	Rong	Central	My whole life	Less than once a month	A couple of times a month			Bymål	Stril	Vocational training	Vocational training and other	Bergen/Stril	Bergensk/stril			Vekslar, mest væra	Mix, mainly væra	Mix sola and solæ	Solæ, sola	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Very important	Somewhat important	Not that important	Not that important	Somewhat important	Not that important	A bit every day	A bit every day	A bit every day	Little or never	A bit every day		Øygarden, like utanfor Bergen	Stril	Ja, veldig	4	4	2	2	5	5	4	5	2	4	5	5	5	4	5	2	5	5	3
57	03.06.2019 09:53	11320733163	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	Sample	Male	Rong	Central	My whole life	A couple of times a month	A couple of times a month			Stril/Sogn	Molde/Øygarden	Music, dance and drama	General studies	Stril East Norwegian	Stril østlending			Vekslar, mest være	Mix, mainly være	sola	Sola	jenta	Jenta	Mix, mainly me	Vekslar, mest me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Not that important	Somewhat important	Not that important	Not at all important	Somewhat important	Not at all important	A couple of times per week	A couple of times per week	A bit every day	Little or never	A bit every day	About the same	Øygarden, like utanfor Bergen	Øygarding	Ikkje så veldig	4	5	4	4	5	1	2	5	3	4	3	2	4	3	3		4	1	3
58	03.06.2019 09:42	11320731588	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	Sample	Female	Tjeldstø	Peripheral	My whole life	A couple of times a month	A couple of times a month			Stril	Stril	Vocational training	Vocational training and other	Stril	Stril			Væra	væra	sola	Sola	jento, jenta	Jento, jenta	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Somewhat important	Somewhat important	Somewhat important	Not at all important	Very important	Not at all important	A bit every day	Practially all the time	Practially all the time	Little or never	Practially all the time		Øygarden, like utanfor Bergen	Stril	Ikkje så veldig	2	5	2	2	5	4	1	5	2	2	2	3	4	4	2	2	4	5	3
59	03.06.2019 09:41	11320736769	234901686	04.02.2020 08:36	Complete	Complete	Øygarden	Sample	Male	Rong	Central	5-10 years ago	Less than once a month	Less than once a month			Bergen	Øygarden	Vocational training	Vocational training and other	Mainly Nynorsk Norwegian	Mest nynorsk			Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Somewhat important	Very important	Somewhat important	Somewhat important	Not that important	Somewhat important	A bit every day	Little or never	A lot every day	Little or never	A lot every day	No	Øygarden	Stril	Nei, ikkje i det heile tatt	4	5	4	3	5	5	3	3	2	4	5	5		5	3	5	4	5	4
60	04.11.2018 16:35	11320731486	234901686	04.02.2020 08:32	Complete	Complete	Øygarden	Sample	Male	Tjeldstø	Peripheral	My whole life	Less than once a month	A couple of times a month			Stril	Stril	Vocational training	Vocational training and other	Uncertain	Usikker			Væra	væra	Mix sola and solo, mainly solo	Sola, mest solo	jento	Jento 	vi	Vi	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Not at all important	Not that important	Not that important	Not at all important	Not that important	Somewhat important	A couple of times per week	Little or never	Practially all the time	A bit every day	A couple of times per week	About the same	Øygarden, like utanfor Bergen	Øygarding	Nei, ikkje i det heile tatt	5	5		1	5	5	1	5	4	5	5	4	5	2	4	4		5	2
61	02.10.2018 13:12	10772121177	216331141	03.06.2019 09:48	Complete	Complete	Øygarden	Sample	Female	Vik	Central	Before school	Less than once a month	A couple of times a month			Stril	Sogning	General studies	General studies	Stril, Sogn dialect	Stril, sogning			Væra	væra	sola	Sola	jento	Jento 	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Not at all important	Somewhat important	Not at all important	Not at all important	Somewhat important	Not at all important	Little or never	Practially all the time	Practially all the time	A couple of times per week	A couple of times per week	Yes	Bergen	Stril	Ja, veldig	3	5	3	2	5	2	2	4	4	4	4	2	4	3	3	4	2	4	4
62	01.10.2018 21:25	11320733255	234901686	04.02.2020 08:34	Complete	Complete	Øygarden	Sample	Male	Tjeldstø	Peripheral	Before school	Less than once a month	A couple of times a month			Strilamål	Far 1: Strilamål, far 2: Trøndersk, fostermor: Jærsk	Maritime subjects	Vocational training and other	Stril	Stril			Væra	væra	solæ	Solæ	jento	Jento 	Mix, mainly me	Vekslar, mest me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Very important	Very important	Not that important	Not that important	Somewhat important	Not at all important	A bit every day	A bit every day	A bit every day	Little or never	A bit every day	Yes	Øygarden, like utanfor Bergen	Stril	Ja, veldig	3	5	3	2	5	3	4	5		5	4		4	3	3	3		5	
63	24.09.2018 22:51	10772123684	216331141	03.06.2019 09:47	Complete	Complete	Øygarden	Sample	Male	Vik	Central	Before school	A couple of times a month	About once a week			Bergensk	Stril	General studies	General studies	Bergen	Bergensdialekt			Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Somewhat important	Very important	Not at all important	Not at all important	Somewhat important	Not that important	A bit every day	A bit every day	A bit every day	Little or never	A lot every day	About the same	Bergen	Bergensar		3	5	4	3	5	2	3	1	2	2	3	2	3	3	3	1	3	3	3
